DATE_TIME,RSAM
2010-10-18,85.40942527899999
2010-10-19,83.802066794
2010-10-20,179.17640417
2010-10-21,136.17083198
2010-10-22,143.23580889
2010-10-23,56.180061572
2010-10-24,64.50305334800001
2010-10-25,63.323399408
2010-10-26,119.86720612
2010-10-27,76.085825128
2010-10-28,78.731307829
2010-10-29,122.81773098
2010-10-30,96.60052482100001
2010-10-31,86.355059904
2010-11-01,69.58516669699999
2010-11-02,122.4453276
2010-11-03,151.77597936
2010-11-04,73.04369452
2010-11-05,191.30716963
2010-11-06,297.3765685
2010-11-07,115.55496484
2010-11-08,111.0447071
2010-11-09,170.16208024
2010-11-10,241.90079702
2010-11-11,115.65553585
2010-11-12,61.421615444
2010-11-13,73.924120782
2010-11-14,110.77073725
2010-11-15,69.525647486
2010-11-16,153.89281446
2010-11-17,169.1134421
2010-11-18,146.70287594
2010-11-19,153.50824523
2010-11-20,151.39195397
2010-11-21,133.85231867
2010-11-22,105.45729827
2010-11-23,122.24596388
2010-11-24,162.34815667
2010-11-25,150.99128594
2010-11-26,145.44503468
2010-11-27,116.01304261
2010-11-28,287.21530882
2010-11-29,151.90876467
2010-11-30,99.433474248
2010-12-01,115.70664148
2010-12-02,153.08325864
2010-12-03,169.90582116
2010-12-04,99.643410746
2010-12-05,115.73765313
2010-12-06,134.41038862
